Method    CPU time [s]   Memory [MB]
1000 	2.63029989E-02 	10
2000 	0.104866996 	33
3000 	0.241931990 	73
4000 	0.450425982 	127
5000 	0.678213000 	197
6000 	0.964607000 	283
7000 	1.27307200 	385
8000 	1.71026707 	502
9000 	2.13602209 	635
10000 	2.60556793 	783
